place_id,name,IG_link,img_source
ChIJA67rzEupQjQR-pS-IzVjy9s,45 brunch cafe,https://www.instagram.com/explore/locations/106345847919231/45-brunch-cafe/,None
ChIJZaHX34qpQjQR19p03u2FS7w,倆倆號,https://www.instagram.com/explore/locations/1019835999/,https://www.instagram.com/p/BpW0VWTj0Q7/
ChIJjSvhGEqrQjQRKF1T3sVyeFY,海音Brunch,null,None
ChIJu4qIP0epQjQRRbcJFrcHVrs,Miss Energy 能量小姐 台北公館店,null,None
ChIJ9eASooupQjQRTsk8akzNros,十二巷拉麵,https://www.instagram.com/explore/locations/576931213/,https://www.instagram.com/p/B0qUYHfnmtB/
ChIJWaUkuIqpQjQRNaRGUQb_K6I,京阪豚骨拉麵/公館商圈優質店家/拉麵/,null,None
ChIJPSbdwIqpQjQRlYUb2CvQAZM,山嵐拉麵 公館店,https://www.instagram.com/explore/locations/388815414876973/,https://www.instagram.com/p/B7YfwKhB-s4/
ChIJPcmlg4upQjQRk6lTJ-goJ5w,Mr. 拉麵野崎家,https://www.instagram.com/explore/locations/65149414/mr/,https://www.instagram.com/p/B11YlH0jJ_f/
ChIJA38vuIqpQjQRC7h-cQ9L0Dc,極麵屋-豚骨/公館拉麵/丼飯,https://www.instagram.com/explore/locations/243702773/,https://www.instagram.com/p/CBiLKuMFl9y/
ChIJW-iwFoupQjQRiu9M_0_8bac,鷹流東京豚骨拉麵-極匠,https://www.instagram.com/explore/locations/888144652/gokujoh/,https://www.instagram.com/p/CCnth5BDPIM/
ChIJ12ZbGeypQjQRSYEx1ae3Uts,墨洋拉麵,https://www.instagram.com/explore/locations/111712396964038/,https://www.instagram.com/p/CBshgY4DmKp/
ChIJd_KXmIupQjQRRLfmqJ3ppUA,頑固石板料理 拉麵 蛋包飯,https://www.instagram.com/explore/locations/18136492/,https://www.instagram.com/p/1NaPyhnPrn/
ChIJn-RB6oqpQjQRTBPsvDY6QF8,公館夜市【素食鹹酥雞】,null,None
ChIJfWS1j4upQjQRcetn4MZu_pw,如來素食樂園,null,None
ChIJn7vz44qpQjQREU3WqZK7GPY,大家素食,https://www.instagram.com/explore/locations/37377439/,https://www.instagram.com/p/BnbHkerFZcU/
ChIJLZVZNNapQjQR5yY748Vr6cA,素食麵線羹,null,None
ChIJbyUYe4upQjQR_lNK-f2kOv8,料理王健康素食自助餐,null,None
ChIJ8wtUD4upQjQRAvHhb-IbO3E,新卡莎素食西餐廳,https://www.instagram.com/explore/locations/315137748/,https://www.instagram.com/p/B7nhOifpJgE/
ChIJC3j59oupQjQRH7rZvc7lWbk,蒸夠臭素食蒸臭豆腐,https://www.instagram.com/explore/locations/1016335441/,https://www.instagram.com/p/CHfIevODJ-l/
ChIJWbQXwoqpQjQRpggh9z5EWD0,公館VEGAN麻辣臭豆腐,https://www.instagram.com/explore/locations/760290477491554/vegan/,https://www.instagram.com/p/BpOXMTdgN6L/
ChIJ9w6J70ipQjQRYZj_G-csbFo,小蔬杭 絕對蔬食(台大二活店),https://www.instagram.com/explore/locations/197538780903124/,https://www.instagram.com/p/B9rXrnZhUVz/
ChIJe4cE6qipQjQR2UmbYuJQubw,金湯匙豆花坊 素食 簡餐便當/台北美食/台北豆花/台北便當/台北剉冰/台北推薦餐廳/台北小吃,null,None
ChIJ3w5fIOyrQjQRj-DLqFROcvI,藝素佳素食,null,None
ChIJefszjImpQjQRqZJVCqfXrhM,食香園素食館,null,None
ChIJub2sVompQjQRf8TOJJd6BaA,開心農場素食店,https://www.instagram.com/explore/locations/285521867/,https://www.instagram.com/p/B0cW8cqHVKN/
ChIJPVVVVSmqQjQRE_DCJyEaJoQ,3 Idiots Toast & Curry 三個傻瓜蔬食印度餐廳-公館店,https://www.instagram.com/explore/locations/701462226689398/3-idiots-toast-curry/,https://www.instagram.com/p/BdPFWVZFFmO/
ChIJG8cuwCmpQjQR8q_v0jsbfAI,漢堡王 公館店,https://www.instagram.com/explore/locations/607012773009627/,https://www.instagram.com/p/B5zyakqAsZs/
ChIJ6fT12YupQjQRxhugLfbofCw,肯德基KFC-台北台大餐廳,https://www.instagram.com/explore/locations/506200249583173/kfc/,None
