place_id,chinese_name,pinyin
ChIJ9w6J70ipQjQRYZj_G-csbFo,小蔬杭 絕對蔬食(台大二活店),xiǎo shū háng   jué duì shū shí ( tái dà èr huó diàn ) 
ChIJe4cE6qipQjQR2UmbYuJQubw,金湯匙豆花坊 素食 簡餐便當/台北美食/台北豆花/台北便當/台北剉冰/台北推薦餐廳/台北小吃,jīn tāng shi dòu huā fāng   sù shí   jiǎn cān biàn dāng / tái běi měi shí / tái běi dòu huā / tái běi biàn dāng / tái běi cuò bīng / tái běi tuī jiàn cān tīng / tái běi xiǎo chī 
ChIJ3w5fIOyrQjQRj-DLqFROcvI,藝素佳素食,yì sù jiā sù shí 
ChIJefszjImpQjQRqZJVCqfXrhM,食香園素食館,shí xiāng yuán sù shí guǎn 
ChIJub2sVompQjQRf8TOJJd6BaA,開心農場素食店,kāi xīn nóng chǎng sù shí diàn 
ChIJPVVVVSmqQjQRE_DCJyEaJoQ,3 Idiots Toast & Curry 三個傻瓜蔬食印度餐廳-公館店,3 Idiots Toast & Curry  sān gè shǎ guā shū shí yìn dù cān tīng - gōng guǎn diàn 
ChIJG8cuwCmpQjQR8q_v0jsbfAI,漢堡王 公館店,hàn bǎo wáng   gōng guǎn diàn 
ChIJ6fT12YupQjQRxhugLfbofCw,肯德基KFC-台北台大餐廳,kěn dé jī KFC- tái běi tái dà cān tīng 
ChIJ5Zls-surQjQRqMbV9NmeCVA,麥當勞,mài dāng láo 
ChIJ5Zls-surQjQRtQ0XFunyOtY,麥當勞-台北新生店,mài dāng láo - tái běi xīn shēng diàn 
ChIJY6x2PnqpQjQRVnnCCNQyKgU,頂呱呱,dǐng gū gū 
ChIJR4y1_YapQjQRIDCaUBb7ZC8,摩斯漢堡 台科大店,mó sī hàn bǎo   tái kē dà diàn 
ChIJm4r2zYupQjQRldQ-jLPXeIA,麥當勞-台北台大店,mài dāng láo - tái běi tái dà diàn 
ChIJNRcMdoupQjQRAYT5kFVHru4,胖老爹美式炸雞-公館台大店,pàng lǎo diē měi shì zhà jī - gōng guǎn tái dà diàn 
ChIJJ07sEIupQjQRkXeWp79RI0s,台大美食-魔法雞排(魔法炸雞)外送、下午茶、宵夜、鄉民推薦、必吃美食、公館商圈必吃、鹹酥雞、鹽酥雞、香雞排,tái dà měi shí - mó fǎ jī pái ( mó fǎ zhà jī ) wài sòng 、 xià wǔ chá 、 xiāo yè 、 xiāng mín tuī jiàn 、 bì chī měi shí 、 gōng guǎn shāng quān bì chī 、 xián sū jī 、 yán sū jī 、 xiāng jī pái 
ChIJP-2ZnJmrQjQRcFz9rO-5VJM,肯德基KFC-台大卓越餐廳,kěn dé jī KFC- tái dà zhuó yuè cān tīng 
ChIJ_fgu74qpQjQRV5eybiCdT-I,祥滿速食餐坊-清蒸鮮魚,xiáng mǎn sù shí cān fāng - qīng zhēng xiān yú 
ChIJNRcMdoupQjQRfxaD3Bz5bng,何太守港式菠蘿包專賣店,hé tài shǒu gǎng shì bō luó bāo zhuān mài diàn 
ChIJXeWWloupQjQR3W0uyzTM6uI,豬兒子漢堡店,zhū ér zi hàn bǎo diàn 
ChIJZ3dYjCeqQjQR4oYu4Y0hbWI,摩斯漢堡 台大小福店,mó sī hàn bǎo   tái dà xiǎo fú diàn 
