place_id,chinese_name,pinyin
ChIJNRZhlMKpQjQR6DhVFM7_eRw,慶三號烤肉倉庫早午餐,qìng sān hào kǎo ròu cāng kù zǎo wǔ cān 
ChIJk9oTpoWpQjQRuxUrQ9ka97Y,美而美早午餐,měi ér měi zǎo wǔ cān 
ChIJu4qIP0epQjQRRbcJFrcHVrs,Miss Energy 能量小姐 台北公館店,Miss Energy  néng liàng xiǎo jiě   tái běi gōng guǎn diàn 
ChIJ9eASooupQjQRTsk8akzNros,十二巷拉麵,shí èr xiàng lā miàn 
ChIJTZyavYWpQjQR46DZJP7lplQ,元日本豚骨拉麵,yuán rì běn tún gǔ lā miàn 
ChIJCRRhyY-pQjQR1bZ3_CKgeMU,海拉麵,hǎi lā miàn 
ChIJyybqb1ypQjQR-rZzBnj_Sdw,真劍拉麵,zhēn jiàn lā miàn 
ChIJPcmlg4upQjQRk6lTJ-goJ5w,Mr. 拉麵野崎家,Mr.  lā miàn yě qí jiā 
ChIJva8-I3OpQjQR9guyX9dfuZA,雞二拉麵 師大店,jī èr lā miàn   shī dà diàn 
ChIJdUa2QeapQjQRwWxktmaUK2Q,匠麵殿拉麵專門店,jiàng miàn diàn lā miàn zhuān mén diàn 
ChIJW-iwFoupQjQRiu9M_0_8bac,鷹流東京豚骨拉麵-極匠,yīng liú dōng jīng tún gǔ lā miàn - jí jiàng 
ChIJPSbdwIqpQjQRlYUb2CvQAZM,山嵐拉麵 公館店,shān lán lā miàn   gōng guǎn diàn 
ChIJA38vuIqpQjQRC7h-cQ9L0Dc,極麵屋-豚骨/公館拉麵/丼飯,jí miàn wū - tún gǔ / gōng guǎn lā miàn / jǐng fàn 
ChIJd_KXmIupQjQRRLfmqJ3ppUA,頑固石板料理 拉麵 蛋包飯,wán gù shí bǎn liào lǐ   lā miàn   dàn bāo fàn 
ChIJ4WY-_e2pQjQR-qxVnVH29H8,麗人博多拉麵 師大店,lì rén bó duō lā miàn   shī dà diàn 
ChIJW4eHM4mpQjQROM8Pp_6hEOw,素德蔬食,sù dé shū shí 
ChIJfWS1j4upQjQRcetn4MZu_pw,如來素食樂園,rú lái sù shí lè yuán 
